_num_key,org,#,ID,Giocatore,Ruolo,Ruolo2,Squadra,Min.Gioc.,G,GF,GS,Aut,Ass,CS,GF.1,GS.1,Aut.1,Ass.1,TS,GF.2,GS.2,Aut.2,Ass.2,M2,M3,Amm,Esp,Gdv,Gdp,RigS,RigP,Rt,Rs,T,VG,VC,VTS,_name_norm_old,cod.__Fantacalcio,ruolo__Fantacalcio,nome,voto__Fantacalcio,gf__Fantacalcio,gs__Fantacalcio,rp__Fantacalcio,rs__Fantacalcio,rf__Fantacalcio,au__Fantacalcio,amm__Fantacalcio,esp__Fantacalcio,ass__Fantacalcio,cod.__Statistico,ruolo__Statistico,voto__Statistico,gf__Statistico,gs__Statistico,rp__Statistico,rs__Statistico,rf__Statistico,au__Statistico,amm__Statistico,esp__Statistico,ass__Statistico,cod.__Italia,ruolo__Italia,voto__Italia,gf__Italia,gs__Italia,rp__Italia,rs__Italia,rf__Italia,au__Italia,amm__Italia,esp__Italia,ass__Italia,matched_norm,match_score
227.0,,,227,CALABRESI A.,D,D,PISA,,"s,v,",0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,calabresi a,2745.0,D,Calabresi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2745.0,D,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2745.0,D,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calabresi a,90.0
228.0,PP,228.0,228,CAMBIASO A.,D,D,JUVENTUS,,5.04,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,4.5,4.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,cambiaso a,5520.0,D,Cambiaso,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5520.0,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5520.0,D,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cambiaso a,88.0
229.0,,,229,CANESTRELLI S.,D,D,PISA,,6.04,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.5,5.5,canestrelli s,7139.0,D,Canestrelli,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7139.0,D,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7139.0,D,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canestrelli s,91.0
230.0,,,230,CARACCIOLO A.,D,D,PISA,,6.53,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6.5,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,6.0,caracciolo a,2273.0,D,Caracciolo A.,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273.0,D,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273.0,D,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,caracciolo a,100.0
232.0,,,232,CASALE N.,D,D,BOLOGNA,,5.04,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,5.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,4.5,casale n,5498.0,D,Casale,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5498.0,D,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5498.0,D,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,casale n,85.0
233.0,,,233,CECCHERINI F.,D,D,CREMONESE,,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,"s,v,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceccherini f,1891.0,D,Ceccherini,6*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,D,6*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,D,6*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceccherini f,90.0
235.0,,,235,CIRCATI A.,D,D,PARMA,,4.53,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,5.5,5.0,circati a,6663.0,D,Circati,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6663.0,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6663.0,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,circati a,87.0
238.0,PP,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0,VK,240.0,240,COMUZZO P.,D,D,FIORENTINA,,6.04,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.75,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.5,6.0,comuzzo p,6495.0,D,Comuzzo,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6495.0,D,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6495.0,D,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comuzzo p,87.0
243.0,,,243,CUADRADO J.,D,D,PISA,15.0,6.04,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,6.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.5,cuadrado j,697.0,D,Cuadrado,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,D,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,D,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cuadrado j,88.0
